step,is_stressed,latent_variance,regret,alpha_sync,coherence,error
32,1,0.000000,0.089389,0.850000,0.036155,0.0896
33,1,0.000000,0.192969,0.700000,0.156861,0.1929
34,1,0.000000,0.073257,0.550000,0.304322,0.0733
35,1,0.000000,0.029154,0.400000,0.479753,0.0290
36,1,0.000000,0.010932,0.250000,0.769281,0.0109
37,1,0.000000,0.004047,0.100000,1.243007,0.0040
38,1,0.000000,0.001519,0.010000,1.226945,0.0015
39,1,0.000000,0.000617,0.010000,1.569343,0.0006
40,1,0.000000,0.000257,0.010000,1.315516,0.0003
41,1,0.000000,0.000132,0.010000,1.057257,0.0001
42,1,0.000000,0.000065,0.010000,1.351685,0.0001
43,1,0.000000,0.000033,0.010000,1.341719,0.0000
44,1,0.000000,0.000018,0.010000,1.641769,0.0000
45,1,0.000000,0.000011,0.010000,1.373117,0.0000
46,1,0.000000,0.000006,0.010000,1.248354,0.0000
47,1,0.000000,0.000004,0.010000,1.240902,0.0000
48,1,0.000000,0.000002,0.010000,1.184902,0.0000
49,1,0.000000,0.000002,0.010000,1.291023,0.0000
50,0,0.000000,0.000001,0.010000,1.179769,0.0000
51,0,0.000000,0.000001,0.010000,1.274213,0.0000
52,0,0.000000,0.000000,0.010000,1.228830,0.0000
53,0,0.000000,0.000000,0.010000,1.335220,0.0000
54,0,0.000000,0.000000,0.010000,1.543980,0.0000
55,0,0.000000,0.000000,0.010000,1.479019,0.0000
56,0,0.000000,0.000001,0.010000,1.217253,0.0000
57,0,0.000000,0.000001,0.010000,1.501586,0.0000
58,0,0.000000,0.000001,0.010000,1.390734,0.0000
59,0,0.000000,0.000000,0.010000,1.218927,0.0000
60,0,0.000000,0.000000,0.010000,1.225433,0.0000
61,0,0.000000,0.000000,0.010000,1.466444,0.0000
62,0,0.000000,0.000001,0.010000,1.133287,0.0000
63,0,0.000000,0.000000,0.010000,0.995623,0.0000
64,0,0.000000,0.000001,0.010000,1.188083,0.0000
65,0,0.000000,0.000001,0.010000,1.222617,0.0000
66,0,0.000000,0.000000,0.010000,1.444731,0.0000
67,0,0.000000,0.000001,0.010000,1.259018,0.0000
68,0,0.000000,0.000000,0.010000,1.030411,0.0000
69,0,0.000000,0.000001,0.010000,1.097780,0.0000
70,0,0.000000,0.000001,0.010000,1.032698,0.0000
71,0,0.000000,0.000000,0.010000,1.107497,0.0000
72,0,0.000000,0.000000,0.010000,1.146742,0.0000
73,0,0.000000,0.000000,0.010000,1.158943,0.0000
74,0,0.000000,0.000000,0.010000,1.068534,0.0000
75,0,0.000000,0.000001,0.010000,1.204739,0.0000
76,0,0.000000,0.000001,0.010000,1.418705,0.0000
77,0,0.000000,0.000001,0.010000,1.320187,0.0000
78,0,0.000000,0.000001,0.010000,1.018128,0.0000
79,0,0.000000,0.000001,0.010000,1.192372,0.0000
80,0,0.000000,0.000001,0.010000,1.395636,0.0000
81,0,0.000000,0.000000,0.010000,1.122753,0.0000
82,0,0.000000,0.000000,0.010000,1.175284,0.0000
83,0,0.000000,0.000000,0.010000,1.360082,0.0000
84,0,0.000000,0.000000,0.010000,1.469918,0.0000
85,0,0.000000,0.000001,0.010000,1.112245,0.0000
86,0,0.000000,0.000001,0.010000,1.295361,0.0000
87,0,0.000000,0.000000,0.010000,1.053758,0.0000
88,0,0.000000,0.000000,0.010000,1.421333,0.0000
89,0,0.000000,0.000000,0.010000,1.412874,0.0000
