step,is_stressed,latent_variance,regret,alpha_sync,coherence,error
32,1,0.000000,0.089474,0.850000,0.039324,0.0896
33,1,0.000000,0.182419,0.700000,0.132482,0.1825
34,1,0.000000,0.053018,0.550000,0.320159,0.0532
35,1,0.000000,0.026634,0.400000,0.535060,0.0267
36,1,0.000000,0.014363,0.250000,0.706256,0.0144
37,1,0.000000,0.007748,0.100000,0.850985,0.0077
38,1,0.000000,0.004058,0.010000,1.331664,0.0041
39,1,0.000000,0.002103,0.010000,1.009504,0.0021
40,1,0.000000,0.001059,0.010000,1.223163,0.0011
41,1,0.000000,0.000563,0.010000,1.405870,0.0005
42,1,0.000000,0.000276,0.010000,1.165461,0.0003
43,1,0.000000,0.000138,0.010000,1.072693,0.0001
44,1,0.000000,0.000069,0.010000,1.338935,0.0001
45,1,0.000000,0.000035,0.010000,1.176752,0.0000
46,1,0.000000,0.000017,0.010000,1.361335,0.0000
47,1,0.000000,0.000011,0.010000,1.173233,0.0000
48,1,0.000000,0.000006,0.010000,1.287833,0.0000
49,1,0.000000,0.000003,0.010000,1.034387,0.0000
50,0,0.000000,0.000002,0.010000,1.084258,0.0000
51,0,0.000000,0.000001,0.010000,1.537532,0.0000
52,0,0.000000,0.000001,0.010000,1.394117,0.0000
53,0,0.000000,0.000001,0.010000,1.053668,0.0000
54,0,0.000000,0.000000,0.010000,1.351986,0.0000
55,0,0.000000,0.000001,0.010000,1.306860,0.0000
56,0,0.000000,0.000000,0.010000,1.050411,0.0000
57,0,0.000000,0.000000,0.010000,1.266551,0.0000
58,0,0.000000,0.000000,0.010000,1.232408,0.0000
59,0,0.000000,0.000000,0.010000,1.088234,0.0000
60,0,0.000000,0.000000,0.010000,1.227786,0.0000
61,0,0.000000,0.000001,0.010000,1.144751,0.0000
62,0,0.000000,0.000000,0.010000,1.123394,0.0000
63,0,0.000000,0.000001,0.010000,1.531555,0.0000
64,0,0.000000,0.000000,0.010000,1.114885,0.0000
65,0,0.000000,0.000000,0.010000,1.128528,0.0000
66,0,0.000000,0.000000,0.010000,1.254817,0.0000
67,0,0.000000,0.000000,0.010000,0.879223,0.0000
68,0,0.000000,0.000001,0.010000,1.353807,0.0000
69,0,0.000000,0.000000,0.010000,1.438970,0.0000
70,0,0.000000,0.000001,0.010000,1.112389,0.0000
71,0,0.000000,0.000000,0.010000,1.068721,0.0000
72,0,0.000000,0.000000,0.010000,1.215106,0.0000
73,0,0.000000,0.000000,0.010000,1.310061,0.0000
74,0,0.000000,0.000000,0.010000,1.209732,0.0000
75,0,0.000000,0.000000,0.010000,1.523204,0.0000
76,0,0.000000,0.000000,0.010000,1.331341,0.0000
77,0,0.000000,0.000000,0.010000,1.406458,0.0000
78,0,0.000000,0.000000,0.010000,1.123052,0.0000
79,0,0.000000,0.000000,0.010000,1.021717,0.0000
80,0,0.000000,0.000000,0.010000,1.078006,0.0000
81,0,0.000000,0.000000,0.010000,1.198499,0.0000
82,0,0.000000,0.000001,0.010000,0.934968,0.0000
83,0,0.000000,0.000001,0.010000,1.390162,0.0000
84,0,0.000000,0.000000,0.010000,1.163309,0.0000
85,0,0.000000,0.000000,0.010000,1.455831,0.0000
86,0,0.000000,0.000000,0.010000,1.224954,0.0000
87,0,0.000000,0.000001,0.010000,1.050292,0.0000
88,0,0.000000,0.000000,0.010000,1.223579,0.0000
89,0,0.000000,0.000001,0.010000,0.979882,0.0000
