step,is_stressed,latent_variance,regret,alpha_sync,coherence,error
32,1,0.000000,0.089612,0.850000,0.033530,0.0896
33,1,0.000000,0.182584,0.700000,0.145442,0.1827
34,1,0.000000,0.076108,0.550000,0.252956,0.0762
35,1,0.000000,0.042776,0.400000,0.411397,0.0428
36,1,0.000000,0.024395,0.250000,0.721786,0.0245
37,1,0.000000,0.013364,0.100000,1.075545,0.0134
38,1,0.000000,0.006967,0.010000,1.174582,0.0069
39,1,0.000000,0.003452,0.010000,1.238609,0.0035
40,1,0.000000,0.001671,0.010000,1.521555,0.0017
41,1,0.000000,0.000801,0.010000,1.374784,0.0008
42,1,0.000000,0.000383,0.010000,1.016907,0.0004
43,1,0.000000,0.000189,0.010000,1.118007,0.0002
44,1,0.000000,0.000087,0.010000,1.147121,0.0001
45,1,0.000000,0.000041,0.010000,0.899813,0.0000
46,1,0.000000,0.000025,0.010000,1.145603,0.0000
47,1,0.000000,0.000013,0.010000,1.126124,0.0000
48,1,0.000000,0.000006,0.010000,1.237289,0.0000
49,1,0.000000,0.000004,0.010000,1.192620,0.0000
50,0,0.000000,0.000001,0.010000,0.965907,0.0000
51,0,0.000000,0.000001,0.010000,1.448798,0.0000
52,0,0.000000,0.000001,0.010000,1.117838,0.0000
53,0,0.000000,0.000000,0.010000,1.321595,0.0000
54,0,0.000000,0.000000,0.010000,1.244983,0.0000
55,0,0.000000,0.000001,0.010000,1.373490,0.0000
56,0,0.000000,0.000000,0.010000,1.192317,0.0000
57,0,0.000000,0.000000,0.010000,1.228014,0.0000
58,0,0.000000,0.000000,0.010000,1.301901,0.0000
59,0,0.000000,0.000000,0.010000,1.132782,0.0000
60,0,0.000000,0.000000,0.010000,1.152385,0.0000
61,0,0.000000,0.000000,0.010000,1.178389,0.0000
62,0,0.000000,0.000001,0.010000,1.215923,0.0000
63,0,0.000000,0.000000,0.010000,1.345253,0.0000
64,0,0.000000,0.000001,0.010000,1.074320,0.0000
65,0,0.000000,0.000001,0.010000,1.329449,0.0000
66,0,0.000000,0.000000,0.010000,1.218631,0.0000
67,0,0.000000,0.000000,0.010000,1.346413,0.0000
68,0,0.000000,0.000000,0.010000,1.487957,0.0000
69,0,0.000000,0.000000,0.010000,1.312598,0.0000
70,0,0.000000,0.000000,0.010000,1.242356,0.0000
71,0,0.000000,0.000001,0.010000,1.413536,0.0000
72,0,0.000000,0.000001,0.010000,1.293702,0.0000
73,0,0.000000,0.000000,0.010000,1.435461,0.0000
74,0,0.000000,0.000000,0.010000,1.052118,0.0000
75,0,0.000000,0.000000,0.010000,1.054773,0.0000
76,0,0.000000,0.000000,0.010000,1.094118,0.0000
77,0,0.000000,0.000001,0.010000,1.190756,0.0000
78,0,0.000000,0.000000,0.010000,1.227288,0.0000
79,0,0.000000,0.000001,0.010000,1.228798,0.0000
80,0,0.000000,0.000000,0.010000,1.524976,0.0000
81,0,0.000000,0.000000,0.010000,1.298789,0.0000
82,0,0.000000,0.000000,0.010000,1.137492,0.0000
83,0,0.000000,0.000000,0.010000,1.194591,0.0000
84,0,0.000000,0.000000,0.010000,1.074274,0.0000
85,0,0.000000,0.000001,0.010000,1.061016,0.0000
86,0,0.000000,0.000001,0.010000,1.109510,0.0000
87,0,0.000000,0.000001,0.010000,1.160868,0.0000
88,0,0.000000,0.000001,0.010000,1.256765,0.0000
89,0,0.000000,0.000001,0.010000,1.281212,0.0000
