step,is_stressed,latent_variance,regret,alpha_sync,coherence,error
32,1,0.000000,0.089461,0.850000,0.041243,0.0896
33,1,0.000000,0.186655,0.700000,0.121229,0.1867
34,1,0.000000,0.060872,0.550000,0.229676,0.0608
35,1,0.000000,0.027812,0.400000,0.428850,0.0278
36,1,0.000000,0.012418,0.250000,0.832326,0.0125
37,1,0.000000,0.005303,0.100000,1.010939,0.0053
38,1,0.000000,0.002219,0.010000,1.223429,0.0022
39,1,0.000000,0.000914,0.010000,1.239810,0.0009
40,1,0.000000,0.000369,0.010000,1.202783,0.0004
41,1,0.000000,0.000156,0.010000,1.369823,0.0002
42,1,0.000000,0.000068,0.010000,1.425217,0.0001
43,1,0.000000,0.000029,0.010000,1.436293,0.0000
44,1,0.000000,0.000012,0.010000,1.378781,0.0000
45,1,0.000000,0.000006,0.010000,1.236352,0.0000
46,1,0.000000,0.000003,0.010000,1.435374,0.0000
47,1,0.000000,0.000002,0.010000,1.279989,0.0000
48,1,0.000000,0.000001,0.010000,1.234981,0.0000
49,1,0.000000,0.000001,0.010000,1.312983,0.0000
50,0,0.000000,0.000001,0.010000,1.180070,0.0000
51,0,0.000000,0.000000,0.010000,1.421500,0.0000
52,0,0.000000,0.000001,0.010000,1.343337,0.0000
53,0,0.000000,0.000001,0.010000,1.150530,0.0000
54,0,0.000000,0.000000,0.010000,1.232758,0.0000
55,0,0.000000,0.000001,0.010000,1.287488,0.0000
56,0,0.000000,0.000000,0.010000,1.250971,0.0000
57,0,0.000000,0.000000,0.010000,1.060047,0.0000
58,0,0.000000,0.000000,0.010000,1.182994,0.0000
59,0,0.000000,0.000000,0.010000,1.091994,0.0000
60,0,0.000000,0.000000,0.010000,1.534662,0.0000
61,0,0.000000,0.000001,0.010000,0.961587,0.0000
62,0,0.000000,0.000000,0.010000,1.441360,0.0000
63,0,0.000000,0.000000,0.010000,1.261615,0.0000
64,0,0.000000,0.000000,0.010000,1.235677,0.0000
65,0,0.000000,0.000000,0.010000,1.355928,0.0000
66,0,0.000000,0.000000,0.010000,1.321590,0.0000
67,0,0.000000,0.000001,0.010000,0.922035,0.0000
68,0,0.000000,0.000000,0.010000,1.149617,0.0000
69,0,0.000000,0.000001,0.010000,1.118195,0.0000
70,0,0.000000,0.000000,0.010000,1.143605,0.0000
71,0,0.000000,0.000001,0.010000,1.233436,0.0000
72,0,0.000000,0.000000,0.010000,1.161003,0.0000
73,0,0.000000,0.000000,0.010000,1.268739,0.0000
74,0,0.000000,0.000001,0.010000,1.060840,0.0000
75,0,0.000000,0.000000,0.010000,1.236880,0.0000
76,0,0.000000,0.000001,0.010000,1.207026,0.0000
77,0,0.000000,0.000000,0.010000,1.292932,0.0000
78,0,0.000000,0.000001,0.010000,1.176347,0.0000
79,0,0.000000,0.000000,0.010000,1.038955,0.0000
80,0,0.000000,0.000001,0.010000,1.415509,0.0000
81,0,0.000000,0.000001,0.010000,1.117563,0.0000
82,0,0.000000,0.000001,0.010000,1.170067,0.0000
83,0,0.000000,0.000000,0.010000,1.496677,0.0000
84,0,0.000000,0.000001,0.010000,1.583871,0.0000
85,0,0.000000,0.000000,0.010000,1.352955,0.0000
86,0,0.000000,0.000000,0.010000,1.229804,0.0000
87,0,0.000000,0.000000,0.010000,1.056328,0.0000
88,0,0.000000,0.000001,0.010000,1.234597,0.0000
89,0,0.000000,0.000001,0.010000,1.354280,0.0000
