step,is_stressed,latent_variance,regret,alpha_sync,coherence,error
32,1,0.000000,0.089587,0.850000,0.035388,0.0896
33,1,0.000000,0.161735,0.700000,0.149647,0.1615
34,1,0.000000,0.043963,0.550000,0.267631,0.0440
35,1,0.000000,0.016409,0.400000,0.573706,0.0165
36,1,0.000000,0.006988,0.250000,0.652006,0.0069
37,1,0.000000,0.003018,0.100000,1.074185,0.0030
38,1,0.000000,0.001291,0.010000,1.273621,0.0013
39,1,0.000000,0.000556,0.010000,1.192894,0.0006
40,1,0.000000,0.000239,0.010000,1.227397,0.0002
41,1,0.000000,0.000099,0.010000,1.463593,0.0001
42,1,0.000000,0.000041,0.010000,1.438897,0.0000
43,1,0.000000,0.000017,0.010000,0.876242,0.0000
44,1,0.000000,0.000007,0.010000,1.272197,0.0000
45,1,0.000000,0.000003,0.010000,1.351683,0.0000
46,1,0.000000,0.000002,0.010000,1.279473,0.0000
47,1,0.000000,0.000000,0.010000,1.240169,0.0000
48,1,0.000000,0.000001,0.010000,1.367258,0.0000
49,1,0.000000,0.000001,0.010000,1.006541,0.0000
50,0,0.000000,0.000001,0.010000,1.385395,0.0000
51,0,0.000000,0.000001,0.010000,1.404047,0.0000
52,0,0.000000,0.000000,0.010000,1.148678,0.0000
53,0,0.000000,0.000000,0.010000,1.224571,0.0000
54,0,0.000000,0.000000,0.010000,1.010738,0.0000
55,0,0.000000,0.000000,0.010000,1.253487,0.0000
56,0,0.000000,0.000000,0.010000,1.262166,0.0000
57,0,0.000000,0.000000,0.010000,1.272341,0.0000
58,0,0.000000,0.000000,0.010000,1.207777,0.0000
59,0,0.000000,0.000001,0.010000,1.250908,0.0000
60,0,0.000000,0.000000,0.010000,1.508454,0.0000
61,0,0.000000,0.000000,0.010000,1.139213,0.0000
62,0,0.000000,0.000000,0.010000,1.447647,0.0000
63,0,0.000000,0.000001,0.010000,1.235168,0.0000
64,0,0.000000,0.000001,0.010000,1.392097,0.0000
65,0,0.000000,0.000000,0.010000,1.390543,0.0000
66,0,0.000000,0.000000,0.010000,1.005446,0.0000
67,0,0.000000,0.000001,0.010000,1.084880,0.0000
68,0,0.000000,0.000000,0.010000,1.355330,0.0000
69,0,0.000000,0.000000,0.010000,1.303965,0.0000
70,0,0.000000,0.000000,0.010000,1.329385,0.0000
71,0,0.000000,0.000000,0.010000,1.520811,0.0000
72,0,0.000000,0.000000,0.010000,1.071039,0.0000
73,0,0.000000,0.000001,0.010000,1.286775,0.0000
74,0,0.000000,0.000000,0.010000,1.300545,0.0000
75,0,0.000000,0.000000,0.010000,1.425272,0.0000
76,0,0.000000,0.000001,0.010000,1.289358,0.0000
77,0,0.000000,0.000000,0.010000,1.160642,0.0000
78,0,0.000000,0.000001,0.010000,1.383761,0.0000
79,0,0.000000,0.000000,0.010000,1.383263,0.0000
80,0,0.000000,0.000000,0.010000,1.708258,0.0000
81,0,0.000000,0.000001,0.010000,0.880468,0.0000
82,0,0.000000,0.000001,0.010000,1.106121,0.0000
83,0,0.000000,0.000001,0.010000,1.256849,0.0000
84,0,0.000000,0.000000,0.010000,1.155247,0.0000
85,0,0.000000,0.000001,0.010000,1.245923,0.0000
86,0,0.000000,0.000001,0.010000,1.155591,0.0000
87,0,0.000000,0.000000,0.010000,1.230071,0.0000
88,0,0.000000,0.000000,0.010000,1.282509,0.0000
89,0,0.000000,0.000000,0.010000,1.371560,0.0000
