step,is_stressed,latent_variance,regret,alpha_sync,coherence,error
32,1,0.000000,0.089625,0.850000,0.037462,0.0896
33,1,0.000000,0.169418,0.700000,0.151976,0.1694
34,1,0.000000,0.056669,0.550000,0.260024,0.0568
35,1,0.000000,0.027633,0.400000,0.431699,0.0277
36,1,0.000000,0.014633,0.250000,0.709624,0.0147
37,1,0.000000,0.007948,0.100000,1.162488,0.0080
38,1,0.000000,0.004367,0.010000,1.266603,0.0044
39,1,0.000000,0.002404,0.010000,1.212647,0.0024
40,1,0.000000,0.001329,0.010000,1.199254,0.0013
41,1,0.000000,0.000690,0.010000,1.018068,0.0007
42,1,0.000000,0.000366,0.010000,1.401136,0.0004
43,1,0.000000,0.000177,0.010000,1.242517,0.0002
44,1,0.000000,0.000093,0.010000,1.194156,0.0001
45,1,0.000000,0.000043,0.010000,1.228874,0.0000
46,1,0.000000,0.000021,0.010000,1.127112,0.0000
47,1,0.000000,0.000012,0.010000,1.362736,0.0000
48,1,0.000000,0.000009,0.010000,1.257215,0.0000
49,1,0.000000,0.000004,0.010000,1.230789,0.0000
50,0,0.000000,0.000002,0.010000,1.041958,0.0000
51,0,0.000000,0.000001,0.010000,1.513409,0.0000
52,0,0.000000,0.000001,0.010000,1.383286,0.0000
53,0,0.000000,0.000001,0.010000,1.324566,0.0000
54,0,0.000000,0.000001,0.010000,1.161084,0.0000
55,0,0.000000,0.000000,0.010000,1.215468,0.0000
56,0,0.000000,0.000000,0.010000,1.251577,0.0000
57,0,0.000000,0.000001,0.010000,1.519287,0.0000
58,0,0.000000,0.000001,0.010000,1.187525,0.0000
59,0,0.000000,0.000000,0.010000,1.329589,0.0000
60,0,0.000000,0.000001,0.010000,1.274436,0.0000
61,0,0.000000,0.000000,0.010000,1.370372,0.0000
62,0,0.000000,0.000001,0.010000,1.319584,0.0000
63,0,0.000000,0.000001,0.010000,1.001142,0.0000
64,0,0.000000,0.000001,0.010000,1.474532,0.0000
65,0,0.000000,0.000000,0.010000,1.236202,0.0000
66,0,0.000000,0.000000,0.010000,1.288702,0.0000
67,0,0.000000,0.000001,0.010000,1.328890,0.0000
68,0,0.000000,0.000001,0.010000,1.296553,0.0000
69,0,0.000000,0.000000,0.010000,1.349423,0.0000
70,0,0.000000,0.000001,0.010000,1.295455,0.0000
71,0,0.000000,0.000001,0.010000,1.298967,0.0000
72,0,0.000000,0.000001,0.010000,1.205292,0.0000
73,0,0.000000,0.000000,0.010000,1.173680,0.0000
74,0,0.000000,0.000000,0.010000,1.325207,0.0000
75,0,0.000000,0.000000,0.010000,1.253021,0.0000
76,0,0.000000,0.000001,0.010000,1.119633,0.0000
77,0,0.000000,0.000000,0.010000,1.402348,0.0000
78,0,0.000000,0.000001,0.010000,1.023310,0.0000
79,0,0.000000,0.000000,0.010000,1.301492,0.0000
80,0,0.000000,0.000000,0.010000,1.371288,0.0000
81,0,0.000000,0.000001,0.010000,1.516705,0.0000
82,0,0.000000,0.000001,0.010000,1.196472,0.0000
83,0,0.000000,0.000001,0.010000,1.166879,0.0000
84,0,0.000000,0.000001,0.010000,1.184364,0.0000
85,0,0.000000,0.000001,0.010000,1.244316,0.0000
86,0,0.000000,0.000000,0.010000,1.441329,0.0000
87,0,0.000000,0.000000,0.010000,1.291717,0.0000
88,0,0.000000,0.000001,0.010000,1.152394,0.0000
89,0,0.000000,0.000000,0.010000,1.106425,0.0000
